TOK,SHOT,PHASE,RGEO,AMIN,EPSILON,IP,BT,NEL,PL,KAPPA,DELTA,MEFF,TAUTH,RHO*,BETA,NU*,Q95,TAU_norm,SELDB5
ASDEX,5980,HGELM,1.694,0.4101,0.24208972845336485,0.2959,2.205,3.789,2.456,0.9748018519183365,1.0,1.5,0.051,0.006430161441385045,0.0060008145684955615,0.2243135324078688,4.563,0.07497,1
ASDEX,5980,HGELM,1.684,0.4113,0.24423990498812354,0.2952,2.205,3.734,2.621,0.9723872566011307,1.0,1.5,0.04902,0.006596277981475204,0.006259677240664124,0.1958168898652511,4.671,0.0720594,1
ASDEX,5982,HSELM,1.693,0.4043,0.238806851742469,0.2971,2.205,3.41,1.69,0.989467460126756,1.0,1.5,0.06375,0.006023336771371074,0.004605729867465768,0.27836721404627707,4.275,0.0937125,1
ASDEX,5982,HGELM,1.693,0.4103,0.2423508564678086,0.2959,2.205,3.775,1.961,0.9744269752394586,1.0,1.5,0.06991,0.006466891857484892,0.00605303933615679,0.21780111680685993,4.574,0.1027677,1
ASDEX,5982,HGELM,1.685,0.4127,0.24492581602373886,0.2942,2.204,3.847,2.637,0.9691115295939391,1.0,1.5,0.05151,0.006642417716611186,0.006584242229259907,0.19431657750607748,4.758,0.07568536000000001,1
ASDEX,5996,HSELM,1.687,0.4023,0.23847065797273265,0.2969,2.202,3.363,1.888,0.9941635141997898,1.0,1.5,0.04856,0.005798234720570046,0.004167550069113006,0.32666585995149744,4.216,0.07128608,1
ASDEX,5996,HGELM,1.685,0.4056,0.24071216617210683,0.2963,2.204,3.418,2.242,0.9863405298781913,1.0,1.5,0.04612,0.006203439187578161,0.004928279369129486,0.24371165874955994,4.373,0.06776565333333334,1
ASDEX,5996,HGELM,1.682,0.4064,0.24161712247324613,0.2949,2.204,3.445,2.608,0.9840310672416185,1.0,1.5,0.04053,0.006376883204435435,0.005269578270348714,0.21841001211175065,4.439,0.05955208,1
ASDEX,6002,HSELM,1.689,0.4023,0.23818827708703375,0.2969,2.205,3.378,2.137,0.9940982594833777,1.0,1.5,0.04232,0.005861239308520058,0.0042776074429103535,0.3134955546519572,4.213,0.062210400000000006,1
ASDEX,6002,H,1.692,0.4054,0.2395981087470449,0.2973,2.204,3.541,1.916,0.9863264121854467,1.0,1.5,0.05832,0.006152631701375585,0.005017386563513305,0.26211841220354776,4.324,0.08569152,1
ASDEX,6002,HGELM,1.689,0.4073,0.24114860864416815,0.2969,2.204,3.558,2.604,0.9817742083302093,1.0,1.5,0.04232,0.006372913317525363,0.0054597542613971164,0.2237594825820231,4.429,0.062182186666666674,1
ASDEX,6009,HGELM,1.697,0.4036,0.23783146729522686,0.2975,2.205,3.634,2.194,0.9905623107780104,1.0,1.5,0.04529,0.005929690860797048,0.004740385403288862,0.31881322967439224,4.234,0.06657629999999999,1
ASDEX,6009,HGELM,1.686,0.4047,0.24003558718861212,0.2959,2.205,3.499,2.644,0.987759763359699,1.0,1.5,0.0364,0.006096564522203721,0.004851131077996266,0.27015986485087634,4.339,0.053508,1
ASDEX,6011,HSELM,1.691,0.4013,0.2373151981076286,0.2969,2.205,3.269,2.048,0.9963889446709134,1.0,1.5,0.04006,0.005682167513826751,0.0038711822252099196,0.34788998288238504,4.169,0.058888199999999995,1
ASDEX,6011,HGELM,1.697,0.4081,0.24048320565704184,0.2966,2.205,3.713,2.012,0.980130114229803,1.0,1.5,0.06155,0.006288898746807414,0.005570185431327644,0.2457932131578577,4.445,0.0904785,1
ASDEX,6011,HGELM,1.686,0.4116,0.24412811387900357,0.2952,2.205,3.767,2.611,0.9710600335418237,1.0,1.5,0.0491,0.006542125883378666,0.0062208030917584745,0.2037339543693316,4.691,0.07217699999999999,1
ASDEX,6023,H,1.694,0.4048,0.23896103896103896,0.2973,2.205,3.589,1.977,0.9879020175662283,1.0,1.5,0.05435,0.0060635209609152555,0.004924549891252625,0.2836692849608999,4.293,0.07989450000000001,1
ASDEX,6023,HGELM,1.685,0.4064,0.24118694362017803,0.2958,2.205,3.56,2.621,0.9840994669172212,1.0,1.5,0.04,0.006253354809241862,0.005236557147677989,0.2436640910693791,4.423,0.0588,1
ASDEX,6053,HGELM,1.697,0.4034,0.23771361225692397,0.2977,2.204,3.864,1.874,0.9913613182170832,1.0,1.5,0.05714,0.005808957697674221,0.004832453040541079,0.3692552021515272,4.215,0.08395770666666667,1
ASDEX,6053,HGELM,1.694,0.4094,0.24167650531286894,0.2958,2.203,4.639,2.308,0.976710753690755,1.0,1.5,0.0618,0.006135517620441017,0.006666298767778306,0.33497576378501603,4.524,0.0907636,1
ASDEX,6053,HGELM,1.687,0.4112,0.24374629519857735,0.2948,2.204,5.08,2.639,0.972373440328816,1.0,1.5,0.05512,0.005992391070890644,0.007024776801776154,0.3935841237243351,4.666,0.08098965333333334,1
ASDEX,6066,HSELM,1.696,0.4009,0.23637971698113208,0.2983,2.202,3.564,1.969,0.9978510128656318,1.0,1.5,0.04645,0.005719659661472118,0.0042678828744650696,0.3726892674309939,4.11,0.0681886,1
ASDEX,6066,HGELM,1.688,0.4122,0.24419431279620854,0.2946,2.201,4.095,2.616,0.9695608540181749,1.0,1.5,0.05323,0.006525840536148861,0.0067484666311452566,0.22427860592854343,4.714,0.07810615333333333,1
ASDEX,6069,HSELM,1.696,0.408,0.24056603773584906,0.2961,2.202,4.663,2.037,0.9799327253239587,1.0,1.5,0.06682,0.005879813483350997,0.006111884669031617,0.4062208293667447,4.444,0.09809176,1
ASDEX,6069,HGELM,1.693,0.4097,0.24199645599527467,0.2946,2.202,4.721,2.317,0.9755004220873328,1.0,1.5,0.05937,0.005970995346306003,0.006434602198432364,0.3803306006878931,4.564,0.08715516,1
ASDEX,6069,HGELM,1.69,0.4106,0.2429585798816568,0.2954,2.202,4.719,2.662,0.9731305625507266,1.0,1.5,0.05083,0.0060400152718544185,0.006610377326233714,0.35750911457000917,4.609,0.07461844,1
ASDEX,6084,HSELM,1.697,0.407,0.23983500294637594,0.2963,2.204,3.155,1.926,0.9823715582023562,1.0,1.5,0.05646,0.0063538570046860286,0.004805353756068662,0.20329100710648298,4.393,0.08295856,1
