trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
9,"[8, 4]",5,3,500,0.001,60,1e-05,2.0,0.3611706158423996,0.31217044591903687,-3.701158046722412,0.008002529804166983,0.005835536401718855,0.25200915336608887,0.31476709246635437
11,"[8, 4]",5,3,300,0.001,40,0.001,1.0,0.38424703825092743,0.32981422543525696,-4.3210954666137695,0.006456349765834857,0.00543441716581583,0.2774817943572998,0.2749767601490021
16,[4],3,3,300,0.001,60,1e-05,1.0,0.465886173350738,0.3544289469718933,-6.822393417358398,0.012697784705804058,0.008382612839341164,0.17301294207572937,0.4411359131336212
12,[16],5,3,500,0.001,60,1e-05,0.0,0.49000727952201456,0.44876936078071594,-7.6533660888671875,0.013632926426373227,0.0113008888438344,0.5019757747650146,0.600774347782135
7,[8],3,3,300,0.001,60,0.0001,0.0,0.5213995017945924,0.5046542286872864,-8.797635078430176,0.008289850186632931,0.008055063895881176,0.44791603088378906,0.4309863746166229
3,[4],3,3,300,0.001,60,0.0,0.0,0.525180079592828,0.3879053592681885,-8.940231323242188,0.01626948572286393,0.010483375750482082,0.17476096749305725,0.5320945978164673
17,[4],3,3,300,0.001,60,1e-05,0.0,0.546648768906379,0.47718483209609985,-9.76953125,0.016409276678836977,0.012879788875579834,0.47672146558761597,0.6747373342514038
4,"[8, 4]",5,3,500,0.001,60,0.0001,1.0,0.5674716006747853,0.509433388710022,-10.60561752319336,0.011204945155090011,0.00869668461382389,0.43990767002105713,0.47295138239860535
5,[8],3,3,500,0.001,60,0.0001,2.0,0.5734715173594362,0.4145927429199219,-10.85232925415039,0.020065063213992096,0.012217400595545769,0.24503320455551147,0.6173564195632935
6,[8],3,3,500,0.001,40,1e-05,2.0,0.6769522515592317,0.5458556413650513,-15.515666961669922,0.02404977577760105,0.015726100653409958,0.3483743667602539,0.7964190244674683
14,"[8, 4]",3,3,300,0.001,60,0.0,2.0,0.6788251602331135,0.6111436486244202,-15.607179641723633,0.018896543301877348,0.014246245846152306,0.4335649609565735,0.7201984524726868
15,[16],3,3,500,0.001,40,0.0,0.0,0.7021431955876676,0.6659125685691833,-16.76770782470703,0.019075849005276167,0.014886582270264626,0.4682910442352295,0.7747728228569031
8,[4],5,3,300,0.001,60,0.001,2.0,0.7656952961939001,0.6312525868415833,-20.1296329498291,0.03149949811862487,0.019103124737739563,0.35772010684013367,0.9845215678215027
2,[4],5,3,300,0.001,40,0.001,0.0,0.884470067121,0.7692114114761353,-27.19332504272461,0.0365716123076937,0.02362648956477642,0.44384926557540894,1.2035478353500366
10,[4],5,3,300,0.001,40,1e-05,1.0,0.9953079415161568,0.9195111989974976,-34.70219802856445,0.03833387744807215,0.02598266862332821,0.5340840816497803,1.3264265060424805
18,[4],3,3,500,0.001,60,0.001,2.0,1.0638028179463435,0.8613005876541138,-39.78517150878906,0.06182796933591006,0.03548561409115791,0.44212138652801514,1.7530089616775513
13,[4],3,3,500,0.001,60,0.0001,2.0,1.239453263497668,1.1501963138580322,-54.36564254760742,0.06482744256026095,0.03981388360261917,0.6091232299804688,1.9840768575668335
1,"[8, 4]",3,3,500,0.001,60,1e-05,0.0,1.2833377297231168,1.2014042139053345,-58.35563278198242,0.04203597823921149,0.02978946454823017,0.7069770097732544,1.4978874921798706
