trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
13,"[64, 32, 16]",silu,0.1,0.003,1e-05,256,0.3165099244927078,0.2649698853492737,-2.6103947162628174,0.007740053418402176,0.005927374120801687,0.24724455177783966,0.31655099987983704
23,"[64, 32]",relu,0.05,0.003,1e-05,256,0.3552726582020019,0.2978214621543884,-3.54887056350708,0.009026880403478977,0.00693244906142354,0.25291308760643005,0.36766597628593445
4,"[128, 64]",gelu,0.0,0.0003,0.0001,256,0.3739774192607872,0.34495973587036133,-4.040467262268066,0.008358912242075198,0.007530170027166605,0.430327832698822,0.4252842366695404
16,"[64, 32]",gelu,0.0,0.001,0.001,128,0.4359156668059712,0.40445810556411743,-5.848334789276123,0.010239618855088265,0.009209791198372841,0.5274895429611206,0.5173032879829407
6,[64],silu,0.05,0.003,0.001,128,0.46642044084133005,0.43524447083473206,-6.8403449058532715,0.010808528187341477,0.009977922774851322,0.6081875562667847,0.5662458539009094
7,[64],silu,0.0,0.003,1e-05,128,0.46681538948148493,0.41360658407211304,-6.853628635406494,0.012394898303004307,0.010084678418934345,0.4563571810722351,0.5495902299880981
2,[32],gelu,0.0,0.001,1e-05,128,0.4876068493316248,0.45463064312934875,-7.568792343139648,0.011653910760203522,0.010634218342602253,0.6183905005455017,0.5995241403579712
9,"[128, 64]",silu,0.1,0.003,0.001,128,0.49492521156926594,0.45746585726737976,-7.827936172485352,0.01241516242588247,0.010991389863193035,0.5715742111206055,0.6079745888710022
18,[32],relu,0.05,0.003,0.0001,128,0.49874483457199353,0.4703029990196228,-7.964722633361816,0.011813702944024207,0.01102172676473856,0.6478551626205444,0.621547281742096
10,[32],silu,0.1,0.003,0.0001,128,0.5193937306062096,0.4069482386112213,-8.72239875793457,0.016334241484051108,0.011337555944919586,0.3320736289024353,0.5901362299919128
22,[64],silu,0.05,0.0003,0.001,128,0.5227493203266821,0.4818928837776184,-8.848428726196289,0.01338275778717369,0.011784425936639309,0.6260993480682373,0.6518901586532593
11,"[128, 64]",relu,0.1,0.001,0.0001,128,0.5314417661235209,0.4328659474849701,-9.178677558898926,0.016363621362492226,0.011823314242064953,0.35452529788017273,0.6218124628067017
12,"[128, 64]",gelu,0.0,0.0003,0.0001,128,0.532292017280279,0.4971573054790497,-9.211274147033691,0.013084728025831417,0.011952158994972706,0.7105935215950012,0.6725768446922302
19,[32],relu,0.05,0.003,1e-05,128,0.53570036132064,0.4970065951347351,-9.342460632324219,0.013577126008986324,0.01213263813406229,0.6820834875106812,0.6758939027786255
3,[32],relu,0.05,0.001,1e-05,256,0.536558416592096,0.49748125672340393,-9.375619888305664,0.013550320714283165,0.012153884395956993,0.7004185914993286,0.67635577917099
20,[32],silu,0.1,0.0003,0.001,256,0.5488467501809349,0.5062705278396606,-9.856308937072754,0.014375921361099567,0.012622124515473843,0.6501656174659729,0.6956521272659302
1,"[128, 64]",relu,0.0,0.001,1e-05,128,0.5570518982044376,0.5309576392173767,-10.183335304260254,0.0135025508524962,0.012800745666027069,0.7817283868789673,0.7237911820411682
24,"[64, 32]",gelu,0.05,0.0003,0.001,128,0.5672974776737267,0.512590229511261,-10.59849739074707,0.015794101609942827,0.013226370327174664,0.61821049451828,0.7198314070701599
5,[64],gelu,0.0,0.001,0.001,256,0.5763740055685372,0.5458831787109375,-10.97260856628418,0.014585497863497875,0.0135096600279212,0.7761064767837524,0.7544832825660706
14,"[64, 32]",silu,0.05,0.0003,1e-05,128,0.5806795848897822,0.5308919548988342,-11.152151107788086,0.015938815883291806,0.013658644631505013,0.6628616452217102,0.7475152015686035
17,[128],gelu,0.0,0.0003,1e-05,128,0.5880965825754605,0.5588761568069458,-11.464570999145508,0.01533662921075648,0.014080822467803955,0.7383517026901245,0.7779322266578674
8,[32],gelu,0.05,0.003,0.001,128,0.603298901406149,0.5099392533302307,-12.117319107055664,0.01913214855903496,0.014324852265417576,0.47512760758399963,0.7587006688117981
15,[32],silu,0.05,0.003,0.001,256,0.6161031492727066,0.5815935730934143,-12.680024147033691,0.016852507909975993,0.01510870736092329,0.7472732067108154,0.8264269232749939
21,[64],silu,0.0,0.001,1e-05,256,0.6356984488212235,0.5946702361106873,-13.564055442810059,0.018028536135387633,0.015819739550352097,0.7462978363037109,0.8588948249816895
