trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
4,[16],7,5,1000,0.0003,120,0.001,1.0,0.11680711761905362,0.08538758009672165,0.9859169721603394,0.027858967879985045,0.01631936989724636,0.06615017354488373,0.08647289872169495
7,[8],7,5,1000,0.001,120,0.0001,1.0,0.11744835351988189,0.08654487878084183,0.9857619404792786,0.03035032406972016,0.01623615063726902,0.06784877181053162,0.08736655861139297
6,[16],5,5,1000,0.0003,60,0.0,2.0,0.12039853695065876,0.08678353577852249,0.985037624835968,0.030593583826243543,0.01642642728984356,0.06496281921863556,0.08748045563697815
1,"[16, 8]",5,5,500,0.001,60,1e-05,0.0,0.12043345304102737,0.0868111401796341,0.9850289821624756,0.028682446697391187,0.016225391998887062,0.0654018446803093,0.08802633732557297
11,[8],5,5,1000,0.0003,120,0.0001,2.0,0.12119847429983555,0.09015179425477982,0.9848381876945496,0.034148140381266866,0.017148908227682114,0.07141576707363129,0.09077576547861099
12,"[16, 8]",3,5,500,0.0003,120,0.0001,0.0,0.12189602043979302,0.08914802223443985,0.9846631288528442,0.029165311290301366,0.016267869621515274,0.06870108842849731,0.09072647243738174
5,[16],7,3,500,0.001,120,0.0001,1.0,0.12361371704931252,0.08804193884134293,0.9842278361320496,0.027900276462573724,0.016663115471601486,0.06653149425983429,0.09009901434183121
16,[8],5,5,1000,0.001,120,0.001,2.0,0.12387696951451417,0.09054259210824966,0.9841606020927429,0.03144424204159404,0.0174343790858984,0.06647071242332458,0.09177906066179276
8,[8],7,3,500,0.001,60,0.001,2.0,0.12452797503095822,0.09413659572601318,0.9839937090873718,0.030237791202003098,0.01739300787448883,0.07297559082508087,0.09575842320919037
15,[8],3,5,500,0.001,60,0.0,2.0,0.12623177042683523,0.09697850048542023,0.9835526943206787,0.03377110618792991,0.01872319169342518,0.07811441272497177,0.09758266061544418
13,"[8, 4]",3,3,500,0.0003,60,0.0,0.0,0.1274956773978868,0.09360240399837494,0.983221709728241,0.03264518338668451,0.01721585914492607,0.07191088795661926,0.09448474645614624
10,"[8, 4]",7,5,500,0.001,60,0.0,1.0,0.12805708155006654,0.09264124929904938,0.9830735921859741,0.028565388444112584,0.01682497188448906,0.0686909481883049,0.09469820559024811
14,[8],3,5,500,0.001,60,0.001,1.0,0.12882175710889385,0.09752314537763596,0.9828708171844482,0.0338073976333785,0.018933769315481186,0.07446427643299103,0.09784331917762756
3,[8],3,5,500,0.0003,60,0.0001,0.0,0.12960052647430353,0.09813480824232101,0.982663094997406,0.034779433256747254,0.018758779391646385,0.07634823769330978,0.09913020581007004
2,[8],7,3,1000,0.001,60,0.0,0.0,0.13127260297335086,0.10010715574026108,0.9822129011154175,0.03390407818439634,0.019221395254135132,0.0778258740901947,0.10041897743940353
9,"[16, 8]",7,3,1000,0.001,60,0.001,2.0,0.13140109368457734,0.09104020148515701,0.9821780323982239,0.03397637936377624,0.017254991456866264,0.06324674189090729,0.09170766919851303
