trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
11,"[128, 64, 32]",gelu,0.0,0.001,0.0001,256,0.1162439467728155,0.08700317144393921,0.9860524535179138,0.027580545088915182,0.015959955751895905,0.06787240505218506,0.08774978667497635
2,"[64, 32]",gelu,0.0,0.001,0.0001,128,0.1264601526163552,0.09850411117076874,0.9834931492805481,0.03071473711949323,0.018283378332853317,0.08130992203950882,0.09868480265140533
9,"[128, 64, 32]",gelu,0.1,0.001,0.0001,128,0.12847435007251992,0.09929968416690826,0.9829630851745605,0.03212803169845823,0.01857476681470871,0.07804299890995026,0.10012639313936234
14,"[128, 64, 32]",silu,0.0,0.001,0.001,256,0.1297080649880561,0.10100077092647552,0.9826343059539795,0.031586106154835786,0.01870111934840679,0.08391770720481873,0.10160171985626221
3,"[64, 32]",silu,0.0,0.001,0.001,128,0.13030835760288378,0.1015019416809082,0.9824732542037964,0.032001165910571755,0.018909307196736336,0.0832541361451149,0.10173479467630386
5,"[128, 64]",silu,0.1,0.001,0.001,128,0.13276505323998275,0.10310658067464828,0.9818061590194702,0.03215390742873096,0.019059063866734505,0.08256106823682785,0.10343725234270096
4,"[128, 64, 32]",gelu,0.1,0.001,0.0001,256,0.13371589497662867,0.10341767221689224,0.9815446138381958,0.032850602994371376,0.019277423620224,0.08300885558128357,0.10374611616134644
17,"[64, 32]",silu,0.0,0.001,0.001,256,0.1354313935622679,0.10440023243427277,0.9810680150985718,0.03420757280171312,0.019839506596326828,0.08218017220497131,0.10491761565208435
10,"[64, 32]",gelu,0.0,0.0003,0.001,128,0.13566694987547312,0.10527785122394562,0.9810020923614502,0.03316174059806095,0.019728519022464752,0.08311466872692108,0.1056385338306427
6,"[128, 64]",silu,0.05,0.001,0.001,128,0.13609920179832313,0.10622642189264297,0.980880856513977,0.03269346271543911,0.01963227428495884,0.08417299389839172,0.10612127929925919
15,"[64, 32, 16]",silu,0.05,0.001,0.0001,128,0.13653067186258944,0.10564198344945908,0.9807594418525696,0.03366546392257081,0.01968279480934143,0.0824500173330307,0.10566551983356476
7,"[128, 64]",silu,0.05,0.0003,0.0001,256,0.13958373271353602,0.10868403315544128,0.9798892736434937,0.034430202272755075,0.02031434141099453,0.0882834792137146,0.10896479338407516
8,"[64, 32]",gelu,0.05,0.0003,0.001,256,0.14248649056294008,0.11124653369188309,0.9790441989898682,0.03549263052303856,0.020850924775004387,0.09017856419086456,0.11191403120756149
13,"[64, 32]",silu,0.1,0.001,0.001,128,0.14263381262415695,0.11112105846405029,0.9790008068084717,0.034555258679137904,0.02050788141787052,0.09170517325401306,0.11127547919750214
18,"[64, 32]",silu,0.1,0.001,0.001,256,0.14298747362196124,0.11108327656984329,0.9788965582847595,0.03522869764821236,0.02069878950715065,0.08907365053892136,0.111057348549366
16,"[64, 32]",silu,0.05,0.0003,0.0001,128,0.14593080827944405,0.11295540630817413,0.9780188202857971,0.03542562933342527,0.020903225988149643,0.09234069287776947,0.11361807584762573
1,"[128, 64, 32]",silu,0.1,0.0003,0.001,256,0.1473955426252574,0.11370773613452911,0.9775753021240234,0.03616188786845985,0.02124333754181862,0.08948811888694763,0.11418560892343521
12,"[64, 32, 16]",gelu,0.1,0.0003,0.001,256,0.1493949566262915,0.11576057225465775,0.9769628047943115,0.03730738821040027,0.021404387429356575,0.09271708875894547,0.11637475341558456
