trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
4,"[128, 64, 32]",gelu,0.1,0.001,0.0001,256,0.29678673435930697,0.25062912702560425,-2.1744534969329834,0.007036988237715658,0.005487779621034861,0.23459798097610474,0.2948886454105377
2,"[64, 32]",gelu,0.0,0.001,0.0001,128,0.37495193570786123,0.34738555550575256,-4.066770076751709,0.008466006637965685,0.007655543740838766,0.433549702167511,0.4278337359428406
11,"[128, 64, 32]",gelu,0.0,0.001,0.0001,256,0.4021636226356784,0.37014803290367126,-4.82888650894165,0.009468572343960204,0.008383153937757015,0.42565929889678955,0.4650559425354004
8,"[64, 32]",gelu,0.05,0.0003,0.001,256,0.4124004186015775,0.38109156489372253,-5.129403591156006,0.009642055400963244,0.00862397626042366,0.4745349884033203,0.48168572783470154
17,"[64, 32]",silu,0.0,0.001,0.001,256,0.430199352921913,0.3954477310180664,-5.66990327835083,0.010122458947450143,0.009001532569527626,0.5253465175628662,0.5065329670906067
9,"[128, 64, 32]",gelu,0.1,0.001,0.0001,128,0.443557644510428,0.40734297037124634,-6.0905537605285645,0.010686502479128996,0.009384745731949806,0.5368971824645996,0.5263340473175049
3,"[64, 32]",silu,0.0,0.001,0.001,128,0.45448993769188434,0.42275840044021606,-6.444380760192871,0.010749466621643085,0.009733041748404503,0.5625491142272949,0.5468531847000122
18,"[64, 32]",silu,0.1,0.001,0.001,256,0.48366622443357493,0.4372868537902832,-7.430853843688965,0.012630217240742527,0.010644091293215752,0.5069918632507324,0.582028329372406
14,"[128, 64, 32]",silu,0.0,0.001,0.001,256,0.5039534731479838,0.46892213821411133,-8.152946472167969,0.012121016728337496,0.011054635047912598,0.6513221859931946,0.624542236328125
6,"[128, 64]",silu,0.05,0.001,0.001,128,0.5052156218432318,0.45682546496391296,-8.198850631713867,0.013380799846923228,0.011271500028669834,0.5378502607345581,0.6168082356452942
15,"[64, 32, 16]",silu,0.05,0.001,0.0001,128,0.5191777683171209,0.4631347060203552,-8.714315414428711,0.01429149691584064,0.011700699105858803,0.5224562287330627,0.6337193250656128
12,"[64, 32, 16]",gelu,0.1,0.0003,0.001,256,0.5194958266034615,0.4675907492637634,-8.726221084594727,0.013987372368682973,0.01170872338116169,0.5455702543258667,0.6378465890884399
13,"[64, 32]",silu,0.1,0.001,0.001,128,0.5584420218175238,0.5112179517745972,-10.23922061920166,0.015057660151521213,0.012947820127010345,0.635068416595459,0.7096714377403259
7,"[128, 64]",silu,0.05,0.0003,0.0001,256,0.564201932670734,0.48969587683677673,-10.472264289855957,0.01697419494446264,0.013207091018557549,0.46973463892936707,0.7011324763298035
10,"[64, 32]",gelu,0.0,0.0003,0.001,128,0.5822436054119365,0.5450730919837952,-11.217700004577637,0.015742237436189323,0.013942874036729336,0.6795765161514282,0.7614924311637878
5,"[128, 64]",silu,0.1,0.001,0.001,128,0.5930649419270552,0.5308104157447815,-11.676066398620605,0.01713778973751802,0.014032076112926006,0.6224403381347656,0.7623018026351929
1,"[128, 64, 32]",silu,0.1,0.0003,0.001,256,0.6041402454737604,0.5696094632148743,-12.1539306640625,0.01581067079179775,0.014408334158360958,0.7923487424850464,0.8028250932693481
16,"[64, 32]",silu,0.05,0.0003,0.0001,128,0.632442908028594,0.5470366477966309,-13.415266036987305,0.020689814462182956,0.01575523056089878,0.5383689403533936,0.825586199760437
