trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
3,"[64, 32]",silu,0.0,0.001,0.001,128,0.15967125845503674,0.12773624062538147,-1.5611340999603271,0.038736983841540486,0.031353630125522614,0.10968629270792007,0.11763046681880951
17,"[64, 32]",silu,0.0,0.001,0.001,256,0.1603591029709307,0.12702760100364685,-1.5832479000091553,0.038995854327909266,0.03126741200685501,0.10574119538068771,0.11811423301696777
2,"[64, 32]",gelu,0.0,0.001,0.0001,128,0.16056105581245114,0.1275787502527237,-1.5897586345672607,0.039675708081038145,0.031566206365823746,0.10445038974285126,0.11876778304576874
7,"[128, 64]",silu,0.05,0.0003,0.0001,256,0.1708200983603998,0.13820496201515198,-1.931276559829712,0.0410860541202945,0.03362667188048363,0.11520449072122574,0.12649187445640564
5,"[128, 64]",silu,0.1,0.001,0.001,128,0.1710968663963877,0.1363299936056137,-1.9407830238342285,0.040932457482291344,0.03313130885362625,0.11038585752248764,0.12450622022151947
10,"[64, 32]",gelu,0.0,0.0003,0.001,128,0.17306944482493114,0.13949081301689148,-2.0089824199676514,0.041676074446121376,0.03396444395184517,0.11647994816303253,0.12741780281066895
6,"[128, 64]",silu,0.05,0.001,0.001,128,0.17584164959290513,0.14080704748630524,-2.106149435043335,0.04206734407732511,0.0341399684548378,0.12057646363973618,0.12866348028182983
16,"[64, 32]",silu,0.05,0.0003,0.0001,128,0.1780040602281221,0.14621247351169586,-2.1830148696899414,0.042799720135822714,0.03546823188662529,0.12721708416938782,0.13278040289878845
14,"[128, 64, 32]",silu,0.0,0.001,0.001,256,0.17865504240168692,0.1462811678647995,-2.20633864402771,0.0428052971364475,0.035420291125774384,0.12350767850875854,0.13292498886585236
1,"[128, 64, 32]",silu,0.1,0.0003,0.001,256,0.17964119936633988,0.14570274949073792,-2.2418336868286133,0.04278884282585939,0.03516177833080292,0.12378595024347305,0.13217100501060486
11,"[128, 64, 32]",gelu,0.0,0.001,0.0001,256,0.17976139456534607,0.14664916694164276,-2.24617338180542,0.043141854893075544,0.03553468734025955,0.12844333052635193,0.13265804946422577
18,"[64, 32]",silu,0.1,0.001,0.001,256,0.18312694169339824,0.14874178171157837,-2.368863105773926,0.04372721700432382,0.03588959202170372,0.1277051568031311,0.13412728905677795
13,"[64, 32]",silu,0.1,0.001,0.001,128,0.18435803068595383,0.15088555216789246,-2.4143102169036865,0.04398441164784234,0.036395780742168427,0.12938086688518524,0.13624761998653412
8,"[64, 32]",gelu,0.05,0.0003,0.001,256,0.19240881652136377,0.1614333540201187,-2.719022274017334,0.04606323383715951,0.03892755135893822,0.1405784636735916,0.14485275745391846
9,"[128, 64, 32]",gelu,0.1,0.001,0.0001,128,0.19538445101092922,0.16340014338493347,-2.834942579269409,0.04646357142922082,0.03916221112012863,0.14303259551525116,0.14654959738254547
4,"[128, 64, 32]",gelu,0.1,0.001,0.0001,256,0.1972061577477519,0.1655169427394867,-2.906787395477295,0.046878859241882564,0.039663977921009064,0.14250434935092926,0.14844338595867157
15,"[64, 32, 16]",silu,0.05,0.001,0.0001,128,0.2027182633276658,0.17377372086048126,-3.128236770629883,0.048592626579368026,0.04174644872546196,0.15277758240699768,0.1552911400794983
12,"[64, 32, 16]",gelu,0.1,0.0003,0.001,256,0.22942814846563747,0.20415012538433075,-4.287765979766846,0.05426517116720423,0.04831057786941528,0.1774655133485794,0.1804121434688568
