trial_id,hidden_dims,grid,k,adam_steps,adam_lr,lbfgs_steps,lamb,lamb_entropy,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
3,"[16, 8]",7,5,1000,0.0003,120,0.0001,1.0,0.3369373258216279,0.24694497883319855,-0.5930259227752686,0.015983676227298238,0.012700417079031467,0.21819187700748444,0.26301535964012146
8,"[16, 8]",7,5,1000,0.001,60,1e-05,1.0,0.44520783449191736,0.35335493087768555,-1.7813150882720947,0.02215707528079781,0.01763114705681801,0.29232853651046753,0.32464051246643066
6,[32],5,5,1000,0.001,60,1e-05,0.0,0.47389877559956883,0.3803942799568176,-2.151343584060669,0.028661101825557894,0.021006617695093155,0.2976796329021454,0.38835641741752625
11,"[16, 8]",3,5,1000,0.0003,60,1e-05,1.0,0.5251568696127054,0.4362551271915436,-2.8699262142181396,0.03974519589180916,0.031053422018885612,0.43855541944503784,0.6054597496986389
7,"[16, 8]",7,3,1000,0.0003,120,1e-05,0.0,0.526115343077299,0.43647733330726624,-2.8840653896331787,0.026165771306409184,0.021380886435508728,0.3533232808113098,0.3775351941585541
9,[8],7,3,500,0.0003,60,0.001,1.0,0.6339342042223708,0.5730808973312378,-4.639141082763672,0.04640636279111699,0.04128069803118706,0.7391425967216492,0.8156984448432922
4,[16],3,3,500,0.0003,120,0.0,1.0,0.7071748450710844,0.5683420896530151,-6.017431735992432,0.062250658827837105,0.045325133949518204,0.5728871822357178,0.9193469285964966
1,[8],3,5,1000,0.0003,120,0.0,1.0,0.8124947914543464,0.7322565913200378,-8.263300895690918,0.03248021517085163,0.0286102294921875,0.5198507308959961,0.49437934160232544
10,"[8, 4]",3,5,500,0.001,60,0.0001,2.0,1.1036205140624418,1.0723758935928345,-16.09086799621582,0.03792050697411656,0.035981711000204086,0.6752217411994934,0.644615650177002
2,[32],3,3,500,0.0003,120,0.0001,1.0,1.1649591973326319,1.0781619548797607,-18.043466567993164,0.158374458125391,0.12676595151424408,1.9050618410110474,2.238593101501465
5,"[8, 4]",3,5,1000,0.0003,120,0.001,1.0,1.1656452657865664,1.0849682092666626,-18.06590461730957,0.03961718835832568,0.03612394630908966,0.672065258026123,0.6286028623580933
12,"[8, 4]",5,5,500,0.001,60,0.0,0.0,1.3055030877592928,1.266111135482788,-22.915552139282227,0.0418153688479387,0.03936989977955818,0.7259750962257385,0.7025238871574402
