trial_id,hidden_dims,activation,dropout,lr,weight_decay,batch_size,rmse_log,mae_log,r2_log,rmse_raw,mae_raw,median_relative_error,mean_relative_error
5,"[128, 64]",gelu,0.1,0.001,0.001,128,0.16439788461432775,0.11906727403402328,0.6207574605941772,0.007517778282072789,0.005905518773943186,0.08476810902357101,0.12499327212572098
12,"[128, 64]",gelu,0.1,0.001,0.001,256,0.18164537280040693,0.13562855124473572,0.5370082259178162,0.008385747145311128,0.0066880760714411736,0.09927128255367279,0.13943296670913696
10,"[64, 32, 16]",gelu,0.05,0.0003,0.001,256,0.18730170970534596,0.13898645341396332,0.5077246427536011,0.009396683850660822,0.007160557899624109,0.10703818500041962,0.13934080302715302
3,"[64, 32]",gelu,0.05,0.001,0.0001,128,0.19976877503192184,0.13599321246147156,0.44001060724258423,0.009463456660280409,0.007077634800225496,0.08902997523546219,0.15587182343006134
8,"[64, 32, 16]",gelu,0.0,0.001,0.001,256,0.20181389552638368,0.14354801177978516,0.428486168384552,0.009270318329526319,0.007128969766199589,0.10196630656719208,0.15581156313419342
11,"[64, 32, 16]",silu,0.05,0.001,0.001,128,0.20452418218222315,0.14726994931697845,0.4130326509475708,0.009786702670248544,0.007510327734053135,0.12383364886045456,0.1548502892255783
4,"[64, 32, 16]",silu,0.1,0.001,0.001,128,0.2072429833840704,0.15733225643634796,0.3973234295845032,0.010661696698431946,0.00824717152863741,0.11583817005157471,0.16722747683525085
7,"[64, 32, 16]",silu,0.1,0.001,0.0001,128,0.21865996142633123,0.15326455235481262,0.32909178733825684,0.010451474820779169,0.00790842343121767,0.11297128349542618,0.17353886365890503
2,"[128, 64]",gelu,0.0,0.0003,0.0001,256,0.22267155009120135,0.1821526437997818,0.3042486310005188,0.011438768420285683,0.00940016657114029,0.14974933862686157,0.18011394143104553
6,"[64, 32]",gelu,0.0,0.0003,0.0001,128,0.24388974078290188,0.19878266751766205,0.165336012840271,0.012828513829871538,0.010436061769723892,0.1732339859008789,0.20389708876609802
1,"[64, 32]",silu,0.05,0.0003,0.0001,256,0.2510656651360762,0.19971433281898499,0.11549711227416992,0.012953084162701217,0.010563480667769909,0.17405803501605988,0.21687868237495422
9,"[64, 32]",silu,0.0,0.001,0.0001,128,0.37514475174473594,0.3264785408973694,-0.9747964143753052,0.024682535780745075,0.02112962119281292,0.3469384014606476,0.41034218668937683
